ndc,order_id,vendor_name,order_date,received_date,quantity_ordered,quantity_received,program_flag
23205-9794-89,OR000308,"Riddle, Norton and Garrett",2025-05-01,2025-05-10,168,245,WAC
81649-8043-53,OR000309,Martinez-Tucker,2025-05-11,2025-05-08,302,423,GPO
37792-6888-33,OR000310,Lang-Jackson,2025-05-03,2025-05-11,284,300,GPO
46802-8333-96,OR000311,Bell Ltd,2025-05-18,2025-05-28,461,319,GPO
26343-9665-81,OR000312,"Turner, White and Nunez",2025-05-24,2025-05-28,439,379,340B
53828-8546-76,OR000313,"Parsons, Mcmillan and Powers",2025-05-11,2025-05-01,462,417,GPO
71307-2488-64,OR000314,Munoz-Brown,2025-05-24,2025-05-26,304,210,340B
85455-8230-73,OR000315,"Burgess, Hunter and Greene",2025-05-25,2025-05-21,149,268,WAC
53088-9080-68,OR000316,Ramirez-Rivas,2025-05-14,2025-05-26,422,411,WAC
49964-1164-90,OR000317,Garcia LLC,2025-05-27,2025-05-08,317,291,340B
67743-8662-33,OR000318,"Mcdonald, Conner and Chen",2025-05-24,2025-05-22,443,310,WAC
55336-7003-35,OR000319,Goodwin-Lester,2025-05-04,2025-05-14,416,496,WAC
21680-8960-18,OR000320,Russell-Jackson,2025-05-23,2025-05-07,494,317,340B
38846-7713-11,OR000321,Simpson-Burnett,2025-05-01,2025-05-28,422,445,GPO
79486-9432-10,OR000322,Collins-Peterson,2025-05-20,2025-05-22,342,139,GPO
56414-4707-52,OR000323,"Ortiz, Murillo and Choi",2025-05-15,2025-05-08,464,279,GPO
34303-4883-78,OR000324,Ortiz Ltd,2025-05-05,2025-05-06,124,89,GPO
92363-7410-44,OR000325,Kim Ltd,2025-05-04,2025-05-20,453,343,WAC
74737-1976-92,OR000326,Weber-Curtis,2025-05-20,2025-05-26,249,442,GPO
66953-7909-85,OR000327,"Ward, Jimenez and Wright",2025-05-07,2025-05-15,486,292,GPO
83194-2700-52,OR000328,Chan PLC,2025-05-17,2025-05-26,305,475,340B
76978-1189-83,OR000329,Burke Group,2025-05-17,2025-05-10,306,308,WAC
51315-2610-79,OR000330,Marshall-Mcmahon,2025-05-18,2025-05-11,114,487,WAC
53426-1256-84,OR000331,"Glover, Hickman and Macdonald",2025-05-09,2025-05-21,220,492,WAC
80789-4260-37,OR000332,Pollard Group,2025-05-19,2025-05-22,175,444,GPO
31148-5155-55,OR000333,Tran Group,2025-05-22,2025-05-17,358,145,GPO
83514-1529-29,OR000334,"Rogers, Mueller and Rice",2025-05-12,2025-05-04,291,235,GPO
28458-5420-76,OR000335,Scott Ltd,2025-05-24,2025-05-16,272,480,GPO
96978-3976-40,OR000336,"Andrews, Taylor and Bailey",2025-05-28,2025-05-24,242,410,340B
70087-9641-30,OR000337,Williams and Sons,2025-05-25,2025-05-02,205,205,WAC
98605-4878-37,OR000338,"Guzman, White and Tucker",2025-05-06,2025-05-14,230,473,340B
19525-7410-63,OR000339,"Jones, Pearson and Gomez",2025-05-13,2025-05-04,485,385,WAC
63024-5519-52,OR000340,Johnson-Young,2025-05-03,2025-05-16,390,288,GPO
23780-9977-86,OR000341,Myers Group,2025-05-18,2025-05-15,406,208,WAC
52252-4529-52,OR000342,Barker-Orozco,2025-05-03,2025-05-10,233,465,WAC
99604-9677-37,OR000343,"Hall, Garcia and Nunez",2025-05-05,2025-05-21,432,413,340B
46693-6681-95,OR000344,Johnson PLC,2025-05-06,2025-05-27,243,428,WAC
41273-1150-89,OR000345,"Welch, Brooks and Turner",2025-05-23,2025-05-23,382,179,WAC
14637-2276-75,OR000346,"Patel, Hunt and Rodriguez",2025-05-28,2025-05-08,318,408,WAC
52564-3256-37,OR000347,Cunningham LLC,2025-05-12,2025-05-17,271,121,WAC
25883-5152-27,OR000348,"Gonzalez, Schwartz and Pope",2025-05-21,2025-05-21,342,202,GPO
19388-5117-89,OR000349,"Walters, Williams and Webb",2025-05-04,2025-05-03,254,392,WAC
41732-4475-29,OR000350,Young and Sons,2025-05-14,2025-05-08,445,480,340B
66345-4262-43,OR000351,Jones-Gregory,2025-05-26,2025-05-27,122,110,340B
75859-5946-44,OR000352,Shea-Norton,2025-05-10,2025-05-20,386,107,GPO
47458-4914-59,OR000353,Anderson PLC,2025-05-15,2025-05-20,121,333,340B
72399-7465-87,OR000354,Watkins-Hayden,2025-05-11,2025-05-26,384,138,340B
99135-7915-16,OR000355,"Wagner, Mata and Lawson",2025-05-09,2025-05-24,435,483,340B
96764-7183-59,OR000356,"Gonzalez, Hunter and Watts",2025-05-20,2025-05-14,291,242,WAC
96272-2683-81,OR000357,Sanchez-Singh,2025-05-26,2025-05-09,430,464,WAC
65759-3667-72,OR000358,Lam Ltd,2025-05-23,2025-05-16,203,311,340B
70493-5813-63,OR000359,King and Sons,2025-05-03,2025-05-05,330,319,GPO
66559-2856-97,OR000360,Taylor-Castillo,2025-05-21,2025-05-03,284,99,WAC
62580-7273-70,OR000361,"Campbell, Long and Schultz",2025-05-09,2025-05-07,434,342,340B
47652-4226-51,OR000362,Pearson LLC,2025-05-15,2025-05-24,385,95,GPO
58995-2412-94,OR000363,Reyes-Chavez,2025-05-14,2025-05-14,390,402,WAC
25883-5152-27,OR000364,Walker PLC,2025-05-04,2025-05-11,195,181,340B
58995-2412-94,OR000365,Quinn-Sparks,2025-05-01,2025-05-06,205,146,340B
17079-9360-89,OR000366,"Tran, Williams and Carter",2025-05-22,2025-05-15,336,374,340B
91721-8491-39,OR000367,"Howard, Cook and Stevens",2025-05-06,2025-05-14,457,102,340B
32109-4667-15,OR000368,Richardson and Sons,2025-05-12,2025-05-03,113,117,WAC
48277-1347-90,OR000369,"Ortiz, Perez and Andrews",2025-05-23,2025-05-05,242,162,340B
98605-4878-37,OR000370,Chung-Collins,2025-05-22,2025-05-25,456,104,WAC
19906-6626-53,OR000371,"White, Anthony and Zhang",2025-05-25,2025-05-07,442,112,340B
12890-9776-38,OR000372,Baird-Miller,2025-05-18,2025-05-21,188,87,GPO
68100-9474-14,OR000373,Fischer-Jones,2025-05-21,2025-05-20,407,246,WAC
47458-4914-59,OR000374,"Harris, Hansen and Peterson",2025-05-22,2025-05-16,415,468,340B
96764-7183-59,OR000375,Chandler-Franklin,2025-05-07,2025-05-05,429,482,340B
70669-4970-99,OR000376,King Group,2025-05-18,2025-05-02,351,115,340B
38846-7713-11,OR000377,Gonzalez and Sons,2025-05-08,2025-05-17,395,309,WAC
15052-8192-85,OR000378,"Torres, Gilbert and Matthews",2025-05-17,2025-05-20,472,169,GPO
23544-2610-91,OR000379,Shaffer and Sons,2025-05-05,2025-05-23,312,282,WAC
79575-4630-40,OR000380,Hudson-Morgan,2025-05-07,2025-05-25,226,204,GPO
38213-6609-79,OR000381,Miller Ltd,2025-05-08,2025-05-20,316,164,GPO
80984-3491-96,OR000382,Wood-Sanders,2025-05-21,2025-05-19,351,80,340B
94692-7091-12,OR000383,Bryant Group,2025-05-05,2025-05-07,193,494,340B
33479-5759-31,OR000384,Williams PLC,2025-05-03,2025-05-11,398,484,340B
27484-6104-57,OR000385,Hubbard Ltd,2025-05-11,2025-05-20,269,492,340B
96764-7183-59,OR000386,Hess LLC,2025-05-23,2025-05-25,264,88,WAC
56414-4707-52,OR000387,"Parker, Johns and Lopez",2025-05-26,2025-05-03,354,487,340B
25380-6041-99,OR000388,Conley-Mejia,2025-05-07,2025-05-06,231,420,GPO
36308-6493-86,OR000389,"Grimes, Young and Russo",2025-05-08,2025-05-19,232,139,GPO
73289-9331-44,OR000390,Singleton-Perry,2025-05-13,2025-05-19,447,487,340B
77809-1449-35,OR000391,Anderson Inc,2025-05-05,2025-05-27,452,143,GPO
78208-1768-99,OR000392,Ritter-Martinez,2025-05-05,2025-05-27,380,280,GPO
32965-3980-43,OR000393,Mcguire and Sons,2025-05-07,2025-05-23,183,375,340B
41481-8294-59,OR000394,Perez and Sons,2025-05-12,2025-05-24,342,171,340B
10096-4934-33,OR000395,Benton-Cole,2025-05-04,2025-05-08,423,414,GPO
49555-2506-22,OR000396,Smith-Baker,2025-05-01,2025-05-19,266,112,WAC
48460-9254-16,OR000397,Frazier-Meyers,2025-05-03,2025-05-17,260,142,340B
38664-3629-19,OR000398,"Krause, Brown and Burns",2025-05-04,2025-05-17,365,480,GPO
18520-9105-96,OR000399,"Chambers, Callahan and Kerr",2025-05-07,2025-05-23,283,222,340B
94007-9586-68,OR000400,Foster-Perez,2025-05-03,2025-05-09,178,241,GPO
75352-2549-30,OR000401,"Fuller, Bradley and Holmes",2025-05-14,2025-05-03,293,193,GPO
82998-9790-75,OR000402,Collins-Hall,2025-05-10,2025-05-18,403,145,GPO
33751-2823-76,OR000403,Morgan-Lloyd,2025-05-24,2025-05-21,366,447,340B
63024-5519-52,OR000404,"Smith, Mcknight and Clark",2025-05-03,2025-05-06,354,343,WAC
15647-3505-75,OR000405,"Boone, Brown and Keller",2025-05-23,2025-05-14,287,148,WAC
30706-5961-36,OR000406,Hall Inc,2025-05-27,2025-05-18,256,409,WAC
80938-2021-68,OR000407,Mason-Garcia,2025-05-12,2025-05-04,163,329,340B
37700-1531-76,OR000408,"Silva, Brown and Thompson",2025-05-26,2025-05-09,197,225,340B
32965-3980-43,OR000409,"Duncan, Wilson and Higgins",2025-05-04,2025-05-14,155,485,340B
54922-1159-27,OR000410,Shaw and Sons,2025-05-24,2025-05-01,361,175,340B
51142-1317-52,OR000411,"Jenkins, Kennedy and Mcdonald",2025-05-23,2025-05-24,240,178,340B
75862-5818-37,OR000412,Smith LLC,2025-05-21,2025-05-08,286,223,GPO
89075-3395-46,OR000413,Christensen and Sons,2025-05-11,2025-05-07,149,422,340B
53880-5746-53,OR000414,Thompson Group,2025-05-12,2025-05-08,400,415,340B
23780-9977-86,OR000415,Ross LLC,2025-05-18,2025-05-24,467,140,GPO
48422-3726-45,OR000416,"Howell, Howe and Johnson",2025-05-02,2025-05-26,360,276,WAC
50397-6873-30,OR000417,Mitchell PLC,2025-05-23,2025-05-01,123,353,340B
86723-1298-92,OR000418,Crawford Inc,2025-05-08,2025-05-27,413,230,GPO
77316-8508-66,OR000419,Chambers LLC,2025-05-25,2025-05-25,237,184,WAC
92785-5205-44,OR000420,Pace-Taylor,2025-05-06,2025-05-15,190,498,GPO
99082-7092-28,OR000421,Robinson Inc,2025-05-04,2025-05-24,227,474,340B
55336-7003-35,OR000422,Lewis-Weber,2025-05-23,2025-05-03,128,358,WAC
82365-5121-73,OR000423,Holmes Group,2025-05-14,2025-05-05,466,137,GPO
48635-6023-14,OR000424,"Russell, Reid and Gross",2025-05-03,2025-05-02,246,258,340B
51810-3092-81,OR000425,Roberts-Allen,2025-05-05,2025-05-11,165,173,GPO
85235-1789-99,OR000426,Lucas-Eaton,2025-05-26,2025-05-21,397,446,GPO
52564-3256-37,OR000427,Jones Inc,2025-05-12,2025-05-18,382,295,340B
80413-9349-36,OR000428,"Payne, Taylor and Davis",2025-05-12,2025-05-02,172,120,340B
80568-8449-95,OR000429,"Flores, Young and Williams",2025-05-23,2025-05-10,428,96,WAC
23280-2244-40,OR000430,Park Group,2025-05-27,2025-05-09,480,188,GPO
73818-1989-61,OR000431,Jones-Smith,2025-05-15,2025-05-16,139,265,WAC
81572-2876-57,OR000432,Peters PLC,2025-05-01,2025-05-25,124,241,340B
32062-2833-80,OR000433,Shaw PLC,2025-05-12,2025-05-05,400,99,GPO
57907-5673-14,OR000434,"Gross, Holt and Smith",2025-05-21,2025-05-05,248,264,WAC
87362-1261-65,OR000435,"Hall, Jones and Smith",2025-05-21,2025-05-16,260,166,GPO
63842-6371-48,OR000436,Conley and Sons,2025-05-09,2025-05-16,417,428,340B
48976-6024-32,OR000437,Lewis LLC,2025-05-22,2025-05-02,137,194,GPO
38983-9365-16,OR000438,Palmer-West,2025-05-04,2025-05-13,242,312,340B
99135-7915-16,OR000439,"Cook, Gordon and Hunt",2025-05-02,2025-05-26,190,122,340B
63842-6371-48,OR000440,Pineda-Hill,2025-05-06,2025-05-27,343,354,WAC
65851-9949-32,OR000441,Graham Inc,2025-05-19,2025-05-20,445,288,GPO
57513-6035-43,OR000442,Acevedo-Williams,2025-05-14,2025-05-23,286,88,GPO
66876-9431-30,OR000443,Hudson and Sons,2025-05-14,2025-05-17,245,417,WAC
92785-5205-44,OR000444,Sutton and Sons,2025-05-14,2025-05-04,332,362,GPO
91721-8491-39,OR000445,"Shaw, Gibbs and Ellis",2025-05-24,2025-05-13,312,96,340B
66803-9939-85,OR000446,"Malone, Mora and Mcgrath",2025-05-07,2025-05-20,181,303,340B
40941-1767-28,OR000447,Mckinney-Carlson,2025-05-03,2025-05-01,475,146,GPO
76400-7413-55,OR000448,Gonzalez Ltd,2025-05-25,2025-05-26,335,385,340B
69335-6896-57,OR000449,White PLC,2025-05-07,2025-05-13,260,404,GPO
87362-1261-65,OR000450,"Davis, Atkins and Moore",2025-05-11,2025-05-12,111,345,WAC
63335-5316-90,OR000451,Moss-Liu,2025-05-24,2025-05-23,353,303,WAC
58014-6201-51,OR000452,Hodge-Wong,2025-05-19,2025-05-10,296,299,340B
22180-1129-36,OR000453,"Schultz, Reed and Cruz",2025-05-10,2025-05-20,210,416,GPO
17142-7235-58,OR000454,"Heath, Hahn and Moran",2025-05-15,2025-05-19,411,493,WAC
68999-4643-51,OR000455,Avila LLC,2025-05-16,2025-05-16,110,225,340B
48662-2948-41,OR000456,King-Hunter,2025-05-11,2025-05-21,140,364,GPO
19525-7410-63,OR000457,Freeman PLC,2025-05-12,2025-05-20,197,450,GPO
52252-4529-52,OR000458,Ellison PLC,2025-05-11,2025-05-23,175,465,WAC
66846-5233-34,OR000459,Anderson Group,2025-05-09,2025-05-11,431,456,340B
52535-2692-60,OR000460,"Thompson, Lewis and Berg",2025-05-13,2025-05-07,178,338,340B
47181-8731-41,OR000461,Jordan-Mitchell,2025-05-09,2025-05-14,335,175,GPO
30137-8232-72,OR000462,Butler-Barnes,2025-05-07,2025-05-05,316,179,GPO
27661-6863-63,OR000463,Hill-Ellis,2025-05-21,2025-05-08,215,397,WAC
90405-1663-24,OR000464,Davis-Dixon,2025-05-07,2025-05-06,256,432,340B
41732-4475-29,OR000465,"Ward, Sims and Russo",2025-05-16,2025-05-14,398,80,GPO
57775-1611-89,OR000466,"Walter, Welch and Downs",2025-05-17,2025-05-06,349,209,GPO
49555-2506-22,OR000467,"Kelly, Smith and Allen",2025-05-20,2025-05-16,115,205,WAC
25883-5152-27,OR000468,"Ford, Park and Rivera",2025-05-22,2025-05-18,396,346,WAC
83606-6576-94,OR000469,"Kane, Rivera and Alvarez",2025-05-22,2025-05-05,250,87,GPO
82365-5121-73,OR000470,Lee LLC,2025-05-27,2025-05-01,238,153,WAC
17338-3281-15,OR000471,Thornton Group,2025-05-22,2025-05-21,265,491,WAC
26627-3578-61,OR000472,"Rodriguez, Morris and Martinez",2025-05-19,2025-05-21,318,318,GPO
12068-2582-79,OR000473,"Brown, Baker and Johnson",2025-05-08,2025-05-19,443,83,GPO
55708-1368-13,OR000474,Rogers-Schroeder,2025-05-20,2025-05-04,479,333,340B
83259-1541-35,OR000475,"Silva, Heath and Cobb",2025-05-01,2025-05-05,128,142,GPO
53321-6255-71,OR000476,Morris-Brown,2025-05-20,2025-05-04,345,228,GPO
66656-8333-60,OR000477,Pierce-Hale,2025-05-15,2025-05-14,430,413,WAC
32109-4667-15,OR000478,Gutierrez LLC,2025-05-12,2025-05-17,466,482,340B
66693-8497-83,OR000479,"Roberson, Hayes and Gardner",2025-05-23,2025-05-17,115,455,340B
83259-1541-35,OR000480,"Roberts, Ball and Larsen",2025-05-24,2025-05-26,119,463,340B
19672-2109-31,OR000481,Osborne-Hurst,2025-05-21,2025-05-19,370,494,340B
18486-6476-33,OR000482,Huff and Sons,2025-05-19,2025-05-18,386,150,340B
51315-2610-79,OR000483,Jones-Love,2025-05-04,2025-05-04,180,227,340B
70669-4970-99,OR000484,Morrison-Jenkins,2025-05-09,2025-05-21,475,248,WAC
96466-1897-26,OR000485,Flores LLC,2025-05-03,2025-05-18,255,480,340B
49599-8804-37,OR000486,"Martin, Pittman and Duke",2025-05-16,2025-05-02,415,268,GPO
76067-5099-76,OR000487,Proctor PLC,2025-05-24,2025-05-25,122,240,GPO
99857-8207-88,OR000488,Wall LLC,2025-05-09,2025-05-18,236,243,WAC
40305-6430-27,OR000489,"Richardson, Munoz and Villa",2025-05-07,2025-05-05,325,412,GPO
76067-5099-76,OR000490,Flynn-Garner,2025-05-02,2025-05-09,194,417,GPO
83719-1303-14,OR000491,Roach Ltd,2025-05-11,2025-05-27,447,227,WAC
70333-5851-42,OR000492,James-Anderson,2025-05-09,2025-05-26,237,417,GPO
29909-7228-16,OR000493,Lucas-Mendez,2025-05-06,2025-05-15,396,120,GPO
34303-4883-78,OR000494,Clark Group,2025-05-28,2025-05-16,119,174,WAC
94007-9586-68,OR000495,"Morgan, Lynch and Johnson",2025-05-09,2025-05-01,361,119,340B
96272-2683-81,OR000496,Walker Group,2025-05-11,2025-05-20,248,156,WAC
80831-8102-90,OR000497,"Armstrong, Mays and Harper",2025-05-19,2025-05-23,357,374,WAC
21680-8960-18,OR000498,Edwards-Gallegos,2025-05-15,2025-05-11,159,434,340B
18804-6363-76,OR000499,Charles-Cook,2025-05-20,2025-05-08,233,487,GPO
49555-2506-22,OR000500,"Cole, Phillips and Madden",2025-05-25,2025-05-07,117,300,340B
25966-5473-34,OR000501,Snyder-Mccarthy,2025-05-23,2025-05-18,478,261,GPO
78613-2121-58,OR000502,Dillon-Peterson,2025-05-25,2025-05-19,190,340,WAC
94992-2141-61,OR000503,Thompson Inc,2025-05-19,2025-05-17,365,222,WAC
63842-6371-48,OR000504,"Campbell, White and Hays",2025-05-08,2025-05-06,360,466,340B
32960-5630-32,OR000505,Shepherd-Benson,2025-05-14,2025-05-24,234,124,340B
55110-5931-15,OR000506,Cortez PLC,2025-05-15,2025-05-21,421,84,340B
82365-5121-73,OR000507,"Wiggins, Mcdonald and Glover",2025-05-24,2025-05-16,351,365,WAC
79575-4630-40,OR000508,Gardner LLC,2025-05-16,2025-05-17,149,192,340B
56950-1684-99,OR000509,Mcclain PLC,2025-05-11,2025-05-22,248,217,WAC
56527-4342-79,OR000510,Bowen Group,2025-05-13,2025-05-09,185,354,340B
99082-7092-28,OR000511,"Wilson, Powell and Rivers",2025-05-03,2025-05-25,374,282,WAC
56527-4342-79,OR000512,Cameron-Warren,2025-05-02,2025-05-28,495,432,340B
36217-4424-81,OR000513,Rivera LLC,2025-05-03,2025-05-03,410,239,GPO
43387-9862-13,OR000514,"Fuller, Dunn and Anderson",2025-05-19,2025-05-16,108,334,WAC
44663-1463-23,OR000515,Medina Group,2025-05-15,2025-05-12,350,383,340B
59050-5275-94,OR000516,"Franklin, Salinas and Thompson",2025-05-09,2025-05-14,387,486,GPO
16684-9059-53,OR000517,Middleton-Mason,2025-05-24,2025-05-24,201,304,340B
94007-9586-68,OR000518,Byrd-Roy,2025-05-13,2025-05-01,432,164,340B
32989-1329-16,OR000519,Patel Inc,2025-05-11,2025-05-24,134,82,GPO
37202-8299-35,OR000520,Garcia Inc,2025-05-20,2025-05-06,318,379,WAC
34334-3755-44,OR000521,Cervantes-Wilson,2025-05-19,2025-05-05,495,383,WAC
80603-6250-97,OR000522,Manning Ltd,2025-05-26,2025-05-20,440,321,GPO
87674-7540-39,OR000523,Vega Inc,2025-05-10,2025-05-27,323,366,GPO
12068-2582-79,OR000524,Williams Group,2025-05-15,2025-05-25,482,85,340B
97637-3166-19,OR000525,"Wood, Brown and Hansen",2025-05-01,2025-05-20,115,447,GPO
87754-3835-16,OR000526,"Hunter, Johnson and Silva",2025-05-23,2025-05-05,149,358,GPO
63842-6371-48,OR000527,Brown Ltd,2025-05-17,2025-05-01,327,102,GPO
63673-4111-95,OR000528,Anderson-Watson,2025-05-11,2025-05-15,402,400,340B
99135-7915-16,OR000529,Hobbs-Williams,2025-05-22,2025-05-21,196,219,340B
23544-2610-91,OR000530,"Chase, Martinez and Ritter",2025-05-25,2025-05-21,430,495,WAC
36742-7131-77,OR000531,Snyder-Blackwell,2025-05-09,2025-05-02,153,402,GPO
28338-6319-30,OR000532,"Cooper, Massey and Pearson",2025-05-06,2025-05-15,224,209,WAC
55806-8469-13,OR000533,Stark Inc,2025-05-14,2025-05-14,484,151,340B
76978-1189-83,OR000534,"Wells, Mitchell and Foley",2025-05-01,2025-05-22,225,158,WAC
80789-4260-37,OR000535,Petty Group,2025-05-23,2025-05-07,495,247,GPO
49555-2506-22,OR000536,Smith LLC,2025-05-01,2025-05-08,139,410,340B
15052-8192-85,OR000537,Pierce-Ellis,2025-05-06,2025-05-14,449,344,340B
12846-1701-99,OR000538,"Collins, Melton and Hudson",2025-05-13,2025-05-22,290,479,GPO
38846-7713-11,OR000539,Dunn LLC,2025-05-22,2025-05-03,244,100,340B
77316-8508-66,OR000540,Petersen Group,2025-05-27,2025-05-01,474,98,WAC
81134-2522-89,OR000541,"Cooke, Mosley and Floyd",2025-05-16,2025-05-14,267,270,340B
71572-1446-53,OR000542,"Sims, Porter and Lopez",2025-05-10,2025-05-14,198,372,GPO
11335-6320-10,OR000543,White PLC,2025-05-09,2025-05-24,308,186,340B
94007-9586-68,OR000544,Benson-Taylor,2025-05-11,2025-05-08,385,86,GPO
66876-9431-30,OR000545,"Martin, Brooks and Lee",2025-05-06,2025-05-22,206,462,WAC
40654-9824-80,OR000546,Clarke-Ford,2025-05-20,2025-05-12,375,147,GPO
99604-9677-37,OR000547,Mcdonald-Walker,2025-05-06,2025-05-25,154,420,WAC
98186-5175-38,OR000548,"Rodriguez, Munoz and Payne",2025-05-15,2025-05-06,434,294,GPO
19906-6626-53,OR000549,Smith and Sons,2025-05-19,2025-05-24,407,484,WAC
75250-3796-11,OR000550,Norris Inc,2025-05-16,2025-05-23,408,307,340B
38664-3629-19,OR000551,"Gonzalez, Freeman and Blanchard",2025-05-24,2025-05-02,346,451,340B
24830-9928-67,OR000552,Bernard-Elliott,2025-05-14,2025-05-26,436,253,340B
56950-1684-99,OR000553,Kennedy-Riley,2025-05-16,2025-05-25,171,155,WAC
75250-3796-11,OR000554,Gay LLC,2025-05-10,2025-05-16,296,211,WAC
83479-5126-40,OR000555,Page-Thomas,2025-05-24,2025-05-28,348,411,340B
70669-4970-99,OR000556,Jones-Phillips,2025-05-07,2025-05-08,203,266,WAC
90405-1663-24,OR000557,Beck Inc,2025-05-24,2025-05-18,467,313,340B
78613-2121-58,OR000558,Castillo PLC,2025-05-10,2025-05-02,424,117,340B
58629-2628-59,OR000559,Anthony LLC,2025-05-16,2025-05-10,486,288,WAC
11366-5963-57,OR000560,Taylor LLC,2025-05-09,2025-05-28,103,243,WAC
80568-8449-95,OR000561,Foster Inc,2025-05-11,2025-05-21,450,233,WAC
32533-7259-96,OR000562,"Kim, Rivera and Garza",2025-05-28,2025-05-06,255,269,340B
57513-6035-43,OR000563,Bailey and Sons,2025-05-14,2025-05-01,438,446,GPO
43010-9508-95,OR000564,Washington PLC,2025-05-26,2025-05-07,437,279,WAC
23280-2244-40,OR000565,Campbell LLC,2025-05-18,2025-05-12,253,373,340B
77363-3813-39,OR000566,Myers and Sons,2025-05-17,2025-05-27,209,174,GPO
57513-6035-43,OR000567,Adkins Group,2025-05-24,2025-05-01,362,271,340B
93462-1869-39,OR000568,Richard Ltd,2025-05-24,2025-05-03,432,177,340B
65987-6303-38,OR000569,Howe and Sons,2025-05-19,2025-05-11,318,157,GPO
31148-5155-55,OR000570,Wood-Nolan,2025-05-19,2025-05-12,165,356,GPO
78572-5008-66,OR000571,"Miller, Bailey and Kane",2025-05-07,2025-05-25,125,308,GPO
65255-9526-23,OR000572,Smith-George,2025-05-04,2025-05-06,359,264,GPO
44663-1463-23,OR000573,"Walton, Reeves and Glenn",2025-05-04,2025-05-12,341,88,GPO
79464-4512-50,OR000574,Webster Ltd,2025-05-05,2025-05-23,180,294,340B
34334-3755-44,OR000575,"Bradley, Taylor and Miller",2025-05-13,2025-05-21,173,288,340B
31230-2949-74,OR000576,Richards-West,2025-05-03,2025-05-04,231,145,GPO
92767-8575-81,OR000577,Smith Inc,2025-05-05,2025-05-08,215,208,340B
57932-2274-56,OR000578,Jimenez-Cochran,2025-05-14,2025-05-12,173,404,340B
20039-1148-59,OR000579,"Rodriguez, Morris and Kelley",2025-05-21,2025-05-28,195,210,GPO
65761-9089-15,OR000580,Johnson Group,2025-05-21,2025-05-01,277,237,GPO
77809-1449-35,OR000581,Lopez and Sons,2025-05-25,2025-05-01,217,435,WAC
54289-7762-61,OR000582,Murphy and Sons,2025-05-14,2025-05-28,469,233,340B
11366-5963-57,OR000583,Padilla LLC,2025-05-16,2025-05-27,215,221,340B
30706-5961-36,OR000584,Roberts LLC,2025-05-01,2025-05-21,163,357,WAC
23280-2244-40,OR000585,Savage-Owen,2025-05-21,2025-05-15,440,333,WAC
23280-2244-40,OR000586,Benson-Allen,2025-05-22,2025-05-27,402,302,WAC
45581-4539-45,OR000587,"Garcia, Taylor and Bailey",2025-05-19,2025-05-27,481,100,GPO
80413-9349-36,OR000588,"Bennett, Norman and Carpenter",2025-05-01,2025-05-21,241,308,340B
59322-3085-87,OR000589,Anthony-Hill,2025-05-11,2025-05-24,256,131,WAC
90119-4863-39,OR000590,Thomas-Ortiz,2025-05-12,2025-05-11,416,436,340B
73289-9331-44,OR000591,"Diaz, Williamson and Stewart",2025-05-05,2025-05-13,380,159,WAC
63842-6371-48,OR000592,"Parker, Daniel and Williams",2025-05-05,2025-05-01,365,377,GPO
15647-3505-75,OR000593,"Rodriguez, Logan and Johnson",2025-05-18,2025-05-12,260,133,WAC
28338-6319-30,OR000594,"Jones, Buckley and Olson",2025-05-15,2025-05-16,461,155,340B
32960-5630-32,OR000595,"Johnson, Walton and Fox",2025-05-25,2025-05-05,376,428,WAC
58934-7704-99,OR000596,Simmons and Sons,2025-05-14,2025-05-24,161,249,340B
25380-6041-99,OR000597,"Long, Morales and Kim",2025-05-06,2025-05-04,216,259,WAC
32965-3980-43,OR000598,Cobb-Campbell,2025-05-02,2025-05-22,114,489,WAC
90071-7095-67,OR000599,"Meza, Schmidt and Griffin",2025-05-28,2025-05-22,327,95,WAC
68279-3029-90,OR000600,Ferguson and Sons,2025-05-06,2025-05-04,442,363,340B
66345-4262-43,OR000601,"Soto, Fowler and Tran",2025-05-02,2025-05-16,264,149,GPO
39464-6500-89,OR000602,"Pruitt, David and Hernandez",2025-05-04,2025-05-11,257,380,WAC
25883-5152-27,OR000603,"Crawford, Ward and Chaney",2025-05-12,2025-05-18,195,193,WAC
30763-2625-77,OR000604,Sanchez-Walker,2025-05-13,2025-05-07,305,102,340B
11730-1910-67,OR000605,"Ruiz, Smith and Wallace",2025-05-21,2025-05-24,105,400,WAC
84723-2258-45,OR000606,White and Sons,2025-05-26,2025-05-16,391,213,340B
65761-9089-15,OR000607,Young LLC,2025-05-16,2025-05-16,289,304,WAC
37792-6888-33,OR000608,Reyes Group,2025-05-19,2025-05-01,249,338,340B
22180-1129-36,OR000609,Wright Group,2025-05-08,2025-05-20,365,353,340B
48422-3726-45,OR000610,Moreno-Gonzales,2025-05-13,2025-05-01,343,372,WAC
82445-2649-81,OR000611,Downs Inc,2025-05-21,2025-05-15,182,268,WAC
31230-2949-74,OR000612,Lewis and Sons,2025-05-13,2025-05-05,286,252,GPO
15893-8006-79,OR000613,"Clark, Booth and Davila",2025-05-24,2025-05-22,340,135,WAC
85235-1789-99,OR000614,Martin and Sons,2025-05-13,2025-05-17,305,374,340B
93612-4597-72,OR000615,Daniels Ltd,2025-05-20,2025-05-17,282,183,WAC
46368-6666-10,OR000616,Juarez-Thompson,2025-05-23,2025-05-06,416,289,340B
